Date,dew,humidity,pm1,pm10,pm25,pressure,temperature,wind-gust,wind-speed
2020-12-28,4.0,75.0,,,161.0,1017.0,7.0,,1.5
2020-12-29,3.0,75.5,,,163.0,1018.0,8.0,,1.5
2020-12-30,3.0,74.6,156.0,87.0,162.0,1019.5,8.5,,1.0
2020-12-31,3.0,72.5,,,176.0,1019.5,7.0,,1.5
2021-01-01,3.0,68.5,164.0,104.0,178.0,1020.0,10.5,,1.0
2021-01-02,2.5,81.0,160.0,77.0,173.0,1020.0,5.7,,1.0
2021-01-03,3.0,62.0,,,177.0,1019.0,12.0,,1.0
2021-01-04,8.0,71.0,,,240.0,1020.5,12.5,,1.2
2021-01-05,8.0,76.0,,,346.0,1021.0,12.0,,1.0
2021-01-06,7.0,60.0,62.0,51.0,185.0,1018.0,13.5,,1.2
2021-01-07,5.5,62.0,,,170.0,1016.5,11.0,,1.5
2021-01-08,3.0,68.0,70.0,60.0,157.0,1016.5,11.5,,1.5
2021-01-09,5.0,66.5,,,165.0,1017.0,11.0,,1.2
2021-01-10,4.0,60.0,,,170.0,1016.0,12.0,,1.5
2021-01-11,5.0,76.0,,,166.0,1016.0,11.0,,1.5
2021-01-12,7.0,87.0,,,170.0,1017.0,10.0,,1.5
2021-01-13,7.0,84.0,,,174.0,1016.0,9.5,,1.5
2021-01-14,7.5,84.0,,,167.0,1017.0,10.5,,1.2
2021-01-15,8.0,87.0,,,170.0,1016.0,10.0,,1.2
2021-01-16,7.0,69.0,,,165.0,1015.0,10.5,,1.5
2021-01-17,7.0,71.0,,,162.0,1019.5,10.5,,1.5
2021-01-18,7.0,69.0,,,163.0,1018.5,12.0,,1.2
2021-01-19,6.0,73.5,,,158.0,1015.0,9.5,,1.5
2021-01-20,6.0,76.0,151.0,54.0,157.0,1014.5,10.5,,1.0
2021-01-21,5.0,66.0,,,162.0,1013.5,9.0,,1.5
2021-01-22,4.5,75.0,,,166.0,1017.0,9.5,,1.2
2021-01-23,6.0,87.0,,,177.0,1017.0,9.5,,1.2
